PROV26;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;x
PROV29;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;x
PROV92;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;x
PROV100;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;x
PROV102;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;x
PROV116;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;x
PROV117;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;x
PROV120;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;x
PROV122;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;x
PROV124;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;x
PROV141;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;x
PROV254;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;x
PROV255;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;x
PROV256;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;x
PROV257;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;x
PROV258;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;x
PROV259;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;x
